INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Northern Baptist Theological Seminary,IL,NULL,NULL,NULL,NULL
Northern California Institute of Cosmetology Inc,CA,NULL,NULL,NULL,34
Northern Essex Community College,MA,NULL,8047,30400,6359
Northern Illinois University,IL,0.5089,18899,43800,15391
Northern Institute of Cosmetology,OH,NULL,NULL,PrivacySuppressed,37
Northern Kentucky University,KY,0.9072,8014,36000,11654
Northern Maine Community College,ME,NULL,10680,28900,759
Northern Marianas College,MP,NULL,1919,19600,1120
Northern Michigan University,MI,0.7209,12039,33900,7718
Northern New Mexico College,NM,NULL,9268,27500,925
Northern Oklahoma College,OK,NULL,6223,30400,3383
Northern State University,SD,0.8289,14597,33600,1693
Northern Tier Career Center,PA,0.5882,15067,PrivacySuppressed,35
Northern Virginia Community College,VA,NULL,9488,40800,43869
Northern Virginia School of Therapeutic Massage,VA,NULL,NULL,NULL,89
Northland Career Center,MO,NULL,9397,PrivacySuppressed,32
Northland College,WI,0.6343,NULL,32500,575
Northland Community and Technical College,MN,NULL,11774,35700,2603
Northland Community and Technical College - East Grand Forks,MN,NULL,NULL,35700,NULL
Northland International University,WI,NULL,NULL,28800,150
Northland Pioneer College,AZ,NULL,8943,23800,1691
Northpoint Bible College,MA,NULL,NULL,24400,300
Northshore Technical Community College,LA,NULL,7773,PrivacySuppressed,1860
NorthShore University HealthSystem School of Nurse Anesthesia,IL,NULL,NULL,NULL,NULL
NorthWest Arkansas Community College,AR,NULL,6474,32300,6568
Northwest Career College,NV,NULL,NULL,PrivacySuppressed,189
Northwest Christian University,OR,0.7191,NULL,43100,492
Northwest College,WY,NULL,5163,28800,1438
Northwest College of Art & Design,WA,0.7662,NULL,29700,94
Northwest College-Beaverton,OR,NULL,NULL,19600,145
Northwest College-Clackamas,OR,NULL,NULL,19600,200
Northwest College-Eugene,OR,NULL,NULL,19600,199
Northwest College-Hillsboro,OR,NULL,NULL,19600,93
Northwest College-Medford,OR,NULL,NULL,NULL,50
Northwest College-Tualatin,OR,NULL,NULL,19600,102
Northwest Educational Center,TX,NULL,NULL,20900,224
Northwest Florida State College,FL,NULL,8405,29600,5119
Northwest Hair Academy,WA,NULL,NULL,16200,144
Northwest HVAC/R Training Center,WA,NULL,NULL,PrivacySuppressed,39
Northwest Indian College,WA,NULL,6607,27900,609
Northwest Institute of Literary Arts,WA,NULL,NULL,NULL,NULL
Northwest Iowa Community College,IA,NULL,11257,37200,739
Northwest Kansas Technical College,KS,NULL,12240,36500,316
Northwest Louisiana Technical College,LA,NULL,6445,NULL,1827
Northwest Mississippi Community College,MS,NULL,6244,26800,6863
Northwest Missouri State University,MO,0.7658,10570,38000,5222
Northwest Nannies Institute,OR,0.9091,NULL,PrivacySuppressed,20
Northwest Nazarene University,ID,0.6507,NULL,35900,1300
Northwest Regional Technology Institute,PA,NULL,NULL,PrivacySuppressed,18
Northwest School of Wooden Boat Building,WA,NULL,NULL,NULL,61
Northwest State Community College,OH,NULL,10231,29400,1728
Northwest Technical College,MN,NULL,12091,PrivacySuppressed,744
Northwest Technical Institute,AR,NULL,6339,26500,267
Northwest Technology Center-Alva,OK,NULL,NULL,15000,107
Northwest Technology Center-Fairview,OK,NULL,-2434,15000,15
Northwest University,WA,0.9612,NULL,37700,1453
Northwest Vista College,TX,NULL,6470,33400,12600
Northwest-Shoals Community College,AL,NULL,6513,25200,3304
Northwestern College,IA,0.7783,NULL,37600,1113
Northwestern College-Chicago Campus,IL,0.9353,NULL,29700,334
Northwestern College-Southwestern Campus,IL,0.8883,NULL,29700,737
Northwestern Connecticut Community College,CT,NULL,6053,24600,1206
Northwestern Health Sciences University,MN,NULL,NULL,43400,119
Northwestern Michigan College,MI,NULL,8295,28400,3938
Northwestern Oklahoma State University,OK,0.6623,8326,35300,1876
Northwestern State University of Louisiana,LA,0.7298,11446,33900,6828
Northwestern Technological Institute,MI,NULL,NULL,30200,416
Northwestern University,IL,0.1311,NULL,64400,8725
Northwood University-Florida,FL,0.3979,NULL,43200,669
Northwood University-Michigan,MI,0.6947,NULL,43200,2808
Northwood University-Texas,TX,0.6897,NULL,43200,277
Norwalk Community College,CT,NULL,7801,31400,5028
Norwich Technical High School/Adult Licensed Practical Nurse Program,CT,NULL,NULL,PrivacySuppressed,39
Norwich University,VT,0.6574,NULL,46800,2584
Nossi College of Art,TN,0.4891,NULL,23500,261
Notre Dame College,OH,0.895,NULL,41100,1820
Notre Dame de Namur University,CA,0.7771,NULL,51000,1177
Notre Dame of Maryland University,MD,0.4946,NULL,47500,1153
Notre Dame Seminary Graduate School of Theology,LA,NULL,NULL,PrivacySuppressed,12
Nouvelle Institute,FL,NULL,NULL,13600,117
Nova Academy of Cosmetology,MN,NULL,NULL,NULL,89
Nova College de Puerto Rico,PR,NULL,NULL,14900,229
Nova Southeastern University,FL,0.4881,NULL,45200,4582
NTMA Training Centers of Southern California,CA,NULL,NULL,PrivacySuppressed,512
Nueta Hidatsa Sahnish College,ND,NULL,7491,18800,137
Nunation School of Cosmetology,AL,NULL,NULL,NULL,13
Nunez Community College,LA,NULL,8880,24200,1682
Nutek Academy of Beauty Inc,KY,NULL,NULL,PrivacySuppressed,18
Nuvo College of Cosmetology,MI,NULL,NULL,PrivacySuppressed,114
Nyack College,NY,0.9936,NULL,39300,1695
O C Collins Career Center,OH,NULL,5427,30500,452
O'Briens Aveda Institute,VT,NULL,NULL,17600,46
O'More College of Design,TN,0.5234,NULL,30500,169
Oak Hills Christian College,MN,0.6667,NULL,23600,124
Oakland City University,IN,0.5504,NULL,34000,616
Oakland Community College,MI,NULL,4032,29700,13670
Oakland University,MI,0.67,11631,43000,16528
Oakton Community College,IL,NULL,5959,36600,9932
Oakwood University,AL,0.4787,NULL,33900,1878
Oberlin College,OH,0.3272,NULL,40300,2961
Oblate School of Theology,TX,NULL,NULL,NULL,NULL
Occidental College,CA,0.4204,NULL,48500,2023
Ocean Corporation,TX,NULL,NULL,52100,298
Ocean County College,NJ,NULL,10098,32600,8086
Ocean County Vocational-Technical School,NJ,NULL,7294,34800,541
Oceanside College of Beauty,CA,NULL,NULL,PrivacySuppressed,77
Oconee Fall Line Technical College,GA,NULL,2476,22400,1358
Odessa College,TX,NULL,5038,32400,3952
Oehrlein School of Cosmetology,IL,NULL,NULL,19300,61
Ogden-Weber Applied Technology College,UT,NULL,1616,23700,1595
Ogeechee Technical College,GA,NULL,8556,21200,2217
Oglala Lakota College,SD,NULL,2985,17900,1315
Ogle School Hair Skin Nails-Arlington,TX,NULL,NULL,20800,135
Ogle School Hair Skin Nails-Dallas,TX,NULL,NULL,19700,157
Ogle School Hair Skin Nails-Denton,TX,NULL,NULL,20800,103
Ogle School Hair Skin Nails-Ft Worth,TX,NULL,NULL,19700,152
Ogle School Hair Skin Nails-Hurst,TX,NULL,NULL,24100,120
Ogle School Hair Skin Nails-North Dallas,TX,NULL,NULL,19700,94
Ogle School Hair Skin Nails-San Antonio,TX,NULL,NULL,20800,129
Ogle School Hair Skin Nails-Stafford,TX,NULL,NULL,NULL,160
Oglethorpe University,GA,0.7823,NULL,43900,1064
Ohio Business College-Dayton,OH,NULL,NULL,NULL,92
Ohio Business College-Hilliard,OH,NULL,NULL,22400,178
Ohio Business College-Sandusky,OH,NULL,NULL,22400,264
Ohio Business College-Sheffield,OH,NULL,NULL,22400,420
Ohio Center for Broadcasting-Valley View,OH,NULL,NULL,27500,169
Ohio Christian University,OH,0.654,NULL,34100,3306
Ohio College of Massotherapy Inc,OH,NULL,NULL,24800,72
Ohio Dominican University,OH,0.4657,NULL,37500,1350
Ohio Institute of Allied Health,OH,NULL,NULL,NULL,57
Ohio Media School-Cincinnati,OH,NULL,NULL,28600,70
Ohio Northern University,OH,0.6859,NULL,58200,2234
Ohio State Beauty Academy,OH,NULL,NULL,15500,148
Ohio State College of Barber Styling,OH,NULL,NULL,15700,197
Ohio State School of Cosmetology-Canal Winchester,OH,NULL,NULL,PrivacySuppressed,131
Ohio State School of Cosmetology-Westerville,OH,NULL,NULL,PrivacySuppressed,117
Ohio State University Agricultural Technical Institute,OH,NULL,18333,42900,688
Ohio State University-Lima Campus,OH,NULL,12274,42900,988
Ohio State University-Main Campus,OH,0.5296,18068,42900,43733
Ohio State University-Mansfield Campus,OH,NULL,15732,42900,1092
Ohio State University-Marion Campus,OH,NULL,10912,42900,1146
Ohio State University-Newark Campus,OH,NULL,15556,42900,2311
Ohio Technical College,OH,NULL,NULL,34300,1073
Ohio Technical College-PowerSport Institute,OH,NULL,NULL,34300,202
Ohio University-Chillicothe Campus,OH,NULL,10284,39600,2182
Ohio University-Eastern Campus,OH,NULL,8331,39600,953
Ohio University-Lancaster Campus,OH,NULL,10007,39600,2256
Ohio University-Main Campus,OH,0.7427,20351,39600,23390
Ohio University-Southern Campus,OH,NULL,10830,39600,1852
Ohio University-Zanesville Campus,OH,NULL,8537,39600,1944
Ohio Valley College of Technology,OH,NULL,NULL,19700,146
Ohio Valley University,WV,0.3235,NULL,32600,387
Ohio Wesleyan University,OH,0.743,NULL,42700,1725
Ohlone College,CA,NULL,9948,39900,10093
Ohr Hameir Theological Seminary,NY,1,NULL,PrivacySuppressed,96
Oklahoma Baptist University,OK,0.6048,NULL,35900,1824
Oklahoma Christian University,OK,0.6401,NULL,36900,1938
Oklahoma City Community College,OK,NULL,6916,32200,12367
Oklahoma City University,OK,0.6777,NULL,40100,1793
Oklahoma Panhandle State University,OK,0.595,10983,34800,1136
Oklahoma School of Photography,OK,NULL,NULL,22100,28
Oklahoma State University Center for Health Sciences,OK,NULL,NULL,PrivacySuppressed,NULL
Oklahoma State University Institute of Technology,OK,NULL,8597,33300,2426
Oklahoma State University-Main Campus,OK,0.7495,14408,43800,20636
Oklahoma State University-Oklahoma City,OK,NULL,6083,33700,6186
Oklahoma Technical College,OK,NULL,NULL,22300,168
Oklahoma Wesleyan University,OK,0.627,NULL,46100,1153
Old Dominion University,VA,0.8189,13067,42500,19842
Old Town Barber College-Topeka,KS,NULL,NULL,PrivacySuppressed,17
Old Town Barber College-Wichita,KS,NULL,NULL,PrivacySuppressed,50
Oliver Finley Academy of Cosmetology,ID,NULL,NULL,NULL,210
Olivet College,MI,0.6143,NULL,35200,945
Olivet Nazarene University,IL,0.7449,NULL,38500,3504
Olney Central College,IL,NULL,664,28300,833
Olympian Academy of Cosmetology,NM,NULL,NULL,17200,986
Olympic College,WA,NULL,5956,30000,4796
Omaha School of Massage and Healthcare of Herzing University,NE,1,NULL,42300,146
Omega Institute of Cosmetology,LA,NULL,NULL,PrivacySuppressed,57
Omega Studios' School of Applied Recording Arts & Sciences,MD,NULL,NULL,NULL,85
Omnitech Institute,GA,NULL,NULL,PrivacySuppressed,102
Onondaga Community College,NY,NULL,8773,32300,8390
Onondaga Cortland Madison BOCES,NY,NULL,11476,34100,511
Onondaga School of Therapeutic Massage-Rochester,NY,NULL,NULL,NULL,82
Onondaga School of Therapeutic Massage-Syracuse,NY,NULL,NULL,NULL,60
Opelousas School of Cosmetology,LA,NULL,NULL,PrivacySuppressed,16
Opportunities Industrialization Center,WV,NULL,NULL,21900,64
Oral Roberts University,OK,0.7976,NULL,35100,2947
Orange Coast College,CA,NULL,9067,35500,20496
Orange County Community College,NY,NULL,5971,33000,5413
Orange Technical College-Mid Florida Campus,FL,NULL,8054,25500,1418
Orange Technical College-Orlando Campus,FL,NULL,13483,32400,377
Orange Technical College-Westside Campus,FL,NULL,20054,20700,541
Orange Technical College-Winter Park Campus,FL,NULL,24792,20700,219
Orange Ulster BOCES-Practical Nursing Program,NY,1,16179,42900,50
Orangeburg Calhoun Technical College,SC,NULL,7426,24600,2343
Oregon Coast Community College,OR,NULL,5885,23900,361
Oregon College of Art and Craft,OR,0.5054,NULL,PrivacySuppressed,146
Oregon College of Oriental Medicine,OR,NULL,NULL,NULL,NULL
Oregon Health & Science University,OR,NULL,NULL,76600,847
Oregon Institute of Technology,OR,0.5984,15339,52000,3457
Oregon State University,OR,0.7776,18202,46000,22925
Oregon State University-Cascades Campus,OR,NULL,NULL,46000,795
Orion College,FL,NULL,NULL,NULL,441
Orion Institute,OH,NULL,NULL,PrivacySuppressed,70
Orleans Niagara BOCES-Practical Nursing Program,NY,0.3269,15081,PrivacySuppressed,50
Orleans Technical Institute,PA,0.5348,NULL,29100,332
Orlo School of Hair Design and Cosmetology,NY,NULL,NULL,17800,66
Otero Junior College,CO,NULL,10394,28100,962
Otis College of Art and Design,CA,0.6648,NULL,46800,1090
Otsego Area BOCES-Practical Nursing Program,NY,NULL,18194,PrivacySuppressed,39
Ottawa University-Jeffersonville,IN,NULL,NULL,40300,77
Ottawa University-Kansas City,KS,NULL,NULL,40300,252
Ottawa University-Milwaukee,WI,NULL,NULL,40300,227
Ottawa University-Online,KS,NULL,NULL,40300,312
Ottawa University-Ottawa,KS,0.9947,NULL,40300,587
Ottawa University-Phoenix,AZ,NULL,NULL,40300,345
Otterbein University,OH,0.7531,NULL,41200,2271
Ouachita Baptist University,AR,0.7061,NULL,37400,1455
Our Lady of the Lake College,LA,0.726,NULL,43700,1551
Our Lady of the Lake University,TX,0.4952,NULL,37200,1556
Owens Community College,OH,NULL,7395,28300,11363
Owensboro Community and Technical College,KY,NULL,6722,26400,3013
Oxford Academy of Hair Design Inc,CT,NULL,NULL,NULL,95
Oxford Graduate School,TN,NULL,NULL,NULL,NULL
Oxnard College,CA,NULL,3241,28800,6652
Ozark Christian College,MO,NULL,NULL,27900,726
Ozarka College,AR,NULL,6400,24700,1065
Ozarks Technical Community College,MO,NULL,7096,27800,12373
P B Cosmetology Education Center,NJ,NULL,NULL,20500,171
P C Age-Jersey City,NJ,NULL,NULL,PrivacySuppressed,178
P&A Scholars Beauty School,MI,NULL,NULL,PrivacySuppressed,305
Pace University-New York,NY,0.8499,NULL,57700,8163
Pacific College,CA,NULL,NULL,42400,274
Pacific College of Oriental Medicine-Chicago,IL,1,NULL,PrivacySuppressed,71
Pacific College of Oriental Medicine-New York,NY,NULL,NULL,PrivacySuppressed,133
Pacific College of Oriental Medicine-San Diego,CA,NULL,NULL,PrivacySuppressed,111
Pacific Islands University,GU,0.625,NULL,PrivacySuppressed,65
Pacific Lutheran Theological Seminary,CA,NULL,NULL,NULL,NULL
Pacific Lutheran University,WA,0.7501,NULL,46400,2874
Pacific Northwest College of Art,OR,0.8235,NULL,22100,409
Pacific Northwest University of Health Sciences,WA,NULL,NULL,NULL,NULL
Pacific Oaks College,CA,NULL,NULL,42900,482
Pacific Rim Christian University,HI,0.8571,NULL,26400,96
Pacific School of Religion,CA,NULL,NULL,NULL,NULL
Pacific States University,CA,NULL,NULL,NULL,15
Pacific Union College,CA,0.4744,NULL,45700,1583
Pacific University,OR,0.8045,NULL,41200,1802
Pacifica Graduate Institute,CA,NULL,NULL,NULL,NULL
Paier College of Art Inc,CT,NULL,NULL,25200,112
Paine College,GA,0.2181,NULL,26500,841
Palace Beauty College,CA,NULL,NULL,PrivacySuppressed,148
Palau Community College,PW,NULL,1507,24700,602
Palladium Technical Academy,CA,NULL,NULL,PrivacySuppressed,48
Palm Beach Academy of Health & Beauty,FL,NULL,NULL,PrivacySuppressed,103
Palm Beach Atlantic University,FL,0.9527,NULL,37100,2585
Palm Beach State College,FL,NULL,2391,31000,25217
Palmer College of Chiropractic,IA,1,NULL,40400,34
Palmetto Beauty School,SC,NULL,NULL,NULL,58
Palo Alto College,TX,NULL,5214,27800,6678
Palo Alto University,CA,NULL,NULL,NULL,194
Palo Verde College,CA,NULL,9877,26000,2981
Palomar College,CA,NULL,3591,31600,22589
Palomar Institute of Cosmetology,CA,NULL,NULL,17700,121
Pamlico Community College,NC,NULL,2860,22500,335
Panache Academy of Beauty,WI,NULL,NULL,NULL,43
Panola College,TX,NULL,7722,29500,2056
Paradise Valley Community College,AZ,NULL,7904,33800,6515
Paramount Beauty Academy,OH,NULL,NULL,PrivacySuppressed,97
Pardee RAND Graduate School,CA,NULL,NULL,NULL,NULL
Paris Beauty College,CA,NULL,NULL,PrivacySuppressed,161
Paris II Educational Center,MO,NULL,NULL,18700,101
Paris Junior College,TX,NULL,6230,26300,3875
Parisian Beauty School,NJ,NULL,NULL,17600,369
Parisian Spa Institute,FL,NULL,NULL,NULL,88
Park Avenue School of Cosmetology,MN,NULL,NULL,NULL,60
Park Place Premier Barber School,LA,NULL,NULL,NULL,15
Park University,MO,0.6663,NULL,44300,9750
Park West Barber School,NC,NULL,NULL,NULL,112
Park West Barber School,NC,NULL,NULL,NULL,NULL
Park West Barber School,NC,NULL,NULL,NULL,NULL
Parker University,TX,NULL,NULL,PrivacySuppressed,229
Parkland College,IL,NULL,6486,29600,7232
Paroba College of Cosmetology,WA,0.9732,NULL,PrivacySuppressed,93
Pasadena City College,CA,NULL,1824,32900,24900
Pasco-Hernando State College,FL,NULL,5823,28800,9184
Passaic County Community College,NJ,NULL,7861,26600,8479
Pat Goins Benton Road Beauty School,LA,NULL,NULL,PrivacySuppressed,16
Pat Goins Ruston Beauty School,LA,NULL,NULL,PrivacySuppressed,35
Pat Wilson's Beauty College,KY,NULL,NULL,PrivacySuppressed,88
Patrick Henry Community College,VA,NULL,5327,23200,2001
Paul D Camp Community College,VA,NULL,6280,24000,802
Paul Mitchell the School-Ardmore,OK,NULL,NULL,NULL,33
Paul Mitchell the School-Arkansas,AR,NULL,NULL,PrivacySuppressed,118
Paul Mitchell the School-Arlington,TX,NULL,NULL,23200,268
Paul Mitchell the School-Atlanta,GA,NULL,NULL,NULL,305
Paul Mitchell the School-Austin,TX,NULL,NULL,NULL,166
Paul Mitchell the School-Birmingham,AL,NULL,NULL,NULL,174
Paul Mitchell the School-Boise,ID,NULL,NULL,14700,142
Paul Mitchell the School-Bradley,IL,NULL,NULL,20600,338
Paul Mitchell The School-Charleston,SC,NULL,NULL,PrivacySuppressed,201
Paul Mitchell the School-Chicago,IL,NULL,NULL,PrivacySuppressed,301
Paul Mitchell the School-Cincinnati,OH,NULL,NULL,NULL,215
Paul Mitchell the School-Cleveland,OH,NULL,NULL,NULL,176
Paul Mitchell the School-Colorado Springs,CO,NULL,NULL,NULL,241
Paul Mitchell The School-Columbia,SC,NULL,NULL,PrivacySuppressed,156
Paul Mitchell the School-Columbus,OH,NULL,NULL,NULL,167
Paul Mitchell the School-Costa Mesa,CA,NULL,NULL,19600,263
Paul Mitchell the School-Danbury,CT,NULL,NULL,19000,137
Paul Mitchell the School-Delaware,DE,NULL,NULL,NULL,140
Paul Mitchell the School-Denver,CO,NULL,NULL,NULL,171
